NSC #	Experiment name
1	0809RS22
1	0810RS52
17	0904NS01
17	0907RS71
17	1110NS35
89	9106NS74
89	9108RM93
185	9011RG34
295	9311NS60
353	1402NS30
384	1010NS98
534	9501MD06
534	9503RG31
596	1005NS59
629	9205SC75
721	0603NS14
739	0906NS47
739	0908RS24
740	0611SS39
740	8907AG38
740	8907MD10
740	8907NS45
740	8908MD13
740	8909SA17
740	8910AG56
740	8910SA25
740	8911NS78
740	8911SA38
740	8912AG67
740	8912SA43
740	9002MD57
740	9002SA56
740	9003MD64
740	9003SA61
740	9004SA67
740	9005MD78
740	9005NS24
740	9006AG09
740	9006NS29
740	9006SA79
740	9008AG22
740	9008MD01
740	9008NS46
740	9010AG40
740	9010MD14
740	9010SA20
740	9012AG54
740	9012NS82
740	9012SA36
740	9106SA84
740	9106SM74
740	9106SS69
740	9108SA02
740	9108SS93
740	9110AG36
740	9110SA17
740	9110SM07
740	9110SS21
740	9112AG48
740	9112SA29
740	9112SM20
740	9112SS42
740	9202AG08
740	9202SA43
740	9202SM34
740	9202SS63
740	9204AG22
740	9204SA61
740	9206AG38
740	9206SA76
740	9206SS08
740	9208SA93
740	9208SM84
740	9208SS34
740	9210AG71
740	9210SA11
740	9210SM02
740	9302SA37
740	9302SM27
740	9304SA53
740	9304SM43
740	9304SS38
740	9306SS75
740	9308SA85
740	9308SS97
740	9310SS33
740	9312SA18
740	9312SS63
740	9402SA36
740	9402SS91
740	9404SS12
740	9603NS01
740	9706NS64
742	8905SC90
742	8906SC94
749	1309NS70
749	1311RS89
749	9210NS76
749	9302RM29
752	8907AG38
752	8907MD10
752	8907NS45
752	8907SC02
752	8908SA09
752	8909AG52
752	8909MD19
752	8909NS57
752	8909SA17
752	8910AG56
752	8910NS65
752	8910SA25
752	8911MD36
752	8911NS78
752	8911SA38
752	8912AG67
752	8912NS84
752	8912SA43
752	9001AG72
752	9001MD49
752	9001NS90
752	9001SA49
752	9002AG80
752	9002MD57
752	9002NS99
752	9002SA56
752	9003AG87
752	9003MD64
752	9003NS08
752	9003SA61
752	9004AG96
752	9004NS17
752	9004SA67
752	9004SA75
752	9005MD78
752	9005NS24
752	9006AG09
752	9006NS29
752	9006SA79
752	9008AG22
752	9008MD01
752	9008NS46
752	9008SA96
752	9010AG40
752	9010MD14
752	9010NS67
752	9010SA20
752	9012AG54
752	9012MD26
752	9012NS82
752	9012SA36
752	9106SA84
752	9106SM74
752	9106SS69
752	9108AG19
752	9108SA02
752	9108SM89
752	9108SS93
752	9110AG36
752	9110SA17
752	9110SM07
752	9110SS21
752	9112AG48
752	9112SA29
752	9112SM20
752	9112SS42
752	9202AG08
752	9202SA43
752	9202SM34
752	9202SS63
752	9204AG22
752	9204SA61
752	9204SM54
752	9204SS88
752	9206AG38
752	9206SA76
752	9206SM67
752	9206SS08
752	9208AG55
752	9208SM84
752	9208SS34
752	9210AG71
752	9210SA11
752	9210SM02
752	9210SS70
752	9302AG08
752	9302SA37
752	9302SM27
752	9304AG23
752	9304SA53
752	9304SM43
752	9306SA72
752	9306SM63
752	9306SS75
752	9308AG52
752	9308SA85
752	9308SM75
752	9308SS97
752	9310AG69
752	9310SA03
752	9310SM92
752	9310SS33
752	9312SA18
752	9312SS63
752	9512SR92
752	9601SR03
752	9602SR10
752	9603MD16
752	9603NS01
752	9603SR16
752	9604SR24
752	9706MD48
752	9706NS64
755	8907AG38
755	8907MD10
755	8907NS45
755	8907SC02
755	8908SA09
755	8909NS57
755	8910AG56
755	8910NS65
755	8910SA25
755	8911MD36
755	8911NS78
755	8911SA38
755	8912AG67
755	8912NS84
755	8912SA43
755	9001AG72
755	9001NS90
755	9001SA49
755	9002MD57
755	9002NS99
755	9002SA56
755	9003AG87
755	9003MD64
755	9003NS08
755	9003SA61
755	9004AG96
755	9004NS17
755	9004SA67
755	9005MD78
755	9005NS24
755	9006AG09
755	9006NS29
755	9006SA79
755	9008AG22
755	9008MD01
755	9008NS46
755	9008SA96
755	9010AG40
755	9010MD14
755	9010NS67
755	9010SA20
755	9012AG54
755	9012MD26
755	9012NS82
755	9012SA36
755	9106SA84
755	9106SM74
755	9106SS69
755	9108AG19
755	9108SA02
