"nsc","prefix","name","BR:BT-549","BR:HS 578T","BR:MCF7","BR:MDA-MB-231","BR:T-47D","CNS:SF-268","CNS:SF-295","CNS:SF-539","CNS:SNB-19","CNS:SNB-75","CNS:U251","CO:COLO 205","CO:HCC-2998","CO:HCT-116","CO:HCT-15","CO:HT29","CO:KM12","CO:SW-620","LC:A549/ATCC","LC:EKVX","LC:HOP-62","LC:HOP-92","LC:NCI-H226","LC:NCI-H23","LC:NCI-H322M","LC:NCI-H460","LC:NCI-H522","LE:CCRF-CEM","LE:HL-60(TB)","LE:K-562","LE:MOLT-4","LE:RPMI-8226","LE:SR","ME:LOX IMVI","ME:M14","ME:MALME-3M","ME:MDA-MB-435","ME:MDA-N","ME:SK-MEL-2","ME:SK-MEL-28","ME:SK-MEL-5","ME:UACC-257","ME:UACC-62","OV:IGROV1","OV:NCI/ADR-RES","OV:OVCAR-3","OV:OVCAR-4","OV:OVCAR-5","OV:OVCAR-8","OV:SK-OV-3","PR:DU-145","PR:PC-3","RE:786-0","RE:A498","RE:ACHN","RE:CAKI-1","RE:RXF 393","RE:SN12C","RE:TK-10","RE:UO-31"
4962,"S","1902NS64",4.787866,4.573326,4.722172,4.941353,4.740615,4.452242,4.456568,4.816729,4.382743,4.617834,4.484126,4.624819,4.132864,4.772958,4.778611,4.303198,4.582265,4.684759,4,4.432997,4.458092,4.787403,4.254952,4.404325,4.42502,4.342802,5.446137,5.468885,5.57774,4.860753,5.280355,5.033554,4.711712,4.864618,NA,4.801056,4.750435,NA,4,4.514051,4.207431,4.366012,4.746154,4.780761,4.629789,4.850052,4.807334,4.780021,4.484877,4.137457,4.758453,4.483698,4.674098,4.097625,4.80499,4.684044,4.808293,4.842957,4.708901,4.871276
17647,"S","1504NS75",5.682074,5.794108,6.543837,5.992333,5.78818,5.826935,5.78036,5.784127,5.696711,5.855451,5.803571,6.706108,6.633882,5.815839,6.240492,6.415545,5.769275,5.796066,5.663272,5.793444,5.734303,5.899329,5.418408,5.762299,5.700865,5.814238,5.838751,5.813342,5.66857,6.644307,NA,5.64104,6.655032,5.841313,6.67032,5.796859,6.665272,NA,5.828052,5.860117,5.775222,5.657373,5.712183,5.775044,5.764509,5.746193,5.700758,5.719184,5.606317,5.685877,5.733019,5.811639,5.79667,5.8461,5.770893,5.739452,5.79625,5.727231,5.772106,5.806053
17652,"S","1504NS75",4.908521,5.59756,5.788831,5.724456,5.764646,5.390201,5.722653,5.779193,5.442047,5.800191,5.608735,5.805603,5.823066,5.549361,5.846685,6.116812,5.33698,5.521174,5.188583,5.042189,5.45134,5.548162,4.726834,4.983954,5.244143,5.519967,5.633009,5.575469,5.411943,5.776656,NA,5.537,6.128613,5.778759,5.75802,5.77617,5.845443,NA,5.529078,5.774233,5.75706,5.648636,5.675105,5.39459,4.980902,5.242701,5.110186,5.494955,5.240477,4.944416,4.965937,5.484414,5.58712,4.982318,5.483185,4.945072,5.587121,4.957278,4.901927,5.495242
19502,"S","1506NS01",5.192078,5.000307,6.002422,5.58586,5.865823,5.05635,4.843439,5.303947,5.511506,4.893749,5.699468,5.78727,4.811272,4.994049,5.790005,5.251165,4.775698,5.795425,4.661055,4.906418,4.858884,5.599697,4.71177,4.916868,4.710317,4.808713,6.149533,5.682642,5.609613,6.00376,5.683275,5.328547,6.208071,5.70705,5.50675,5.796288,5.450613,NA,4.777032,5.563452,5.358196,4.869603,5.58706,5.502655,4.96507,5.401689,4.895179,4.928004,4.942329,4.647042,4.867989,4.958593,5.411664,NA,5.74202,4.982763,5.290816,5.28043,5.565869,5.740585
19646,"S","1506NS01",6.659451,5.756962,7.272645,6.663224,6.445128,6.328081,6.651442,6.465357,6.347493,5.985884,6.298746,6.964847,6.860271,7.18966,6.723666,6.949633,6.681939,6.946853,6.597955,5.542367,6.672735,6.495012,6.259847,6.142699,6.547582,7.490012,5.791911,5.563435,5.645028,6.628195,5.873848,6.923144,7.491089,5.828774,6.615964,5.853547,6.395433,NA,6.68919,5.802935,6.742963,5.76793,6.528212,5.585524,6.190496,6.112631,5.507163,5.639939,6.043379,5.774766,6.861717,6.702878,6.705594,NA,6.92396,6.081492,6.715441,6.531225,6.701112,6.666835
19646,"S","1509RS64",6.673546,6.101905,7.348309,6.658338,6.384251,6.476713,6.722785,6.570394,6.349824,6.765481,6.492236,6.926572,6.927231,7.462802,6.740372,7.411326,6.842195,7.328411,6.623054,5.572371,6.779276,6.528785,6.226464,6.451732,6.561417,7.535031,6.471199,5.73689,5.708028,6.98717,6.248598,7.51723,7.617995,6.044277,6.62727,5.85757,6.552651,NA,6.66869,5.783164,6.78951,NA,6.669616,5.591078,6.334198,6.699997,5.622729,5.75117,6.287423,5.649911,7.410992,6.860788,6.898455,6.731992,7.317271,6.452588,6.768094,6.579515,6.757079,6.667483
20535,"S","1506NS01",5.738044,5.827149,6.557877,6.532144,6.307844,5.883107,6.092413,5.885512,5.987285,5.28432,6.220339,6.724024,6.311594,6.390913,6.604767,6.555061,5.953052,6.405233,6.25618,5.665655,5.944079,5.706805,5.840498,5.758017,5.805768,6.336795,5.511481,6.017866,5.76633,6.630918,6.415353,6.481266,6.571762,6.373964,6.713808,6.714234,6.677364,NA,5.779726,6.695913,6.727214,6.639014,6.687848,5.91389,5.855251,5.466543,5.674067,5.898652,5.850041,5.819852,5.982254,6.12009,6.084976,NA,6.060912,5.889913,6.350321,5.963032,5.86289,6.289192
21531,"S","1507NS15",6.675682,6.390583,6.740457,6.119565,6.54,6.120336,6.521478,6.285201,6.196069,6.444988,7.296627,6.37568,6.447706,NA,6.041265,6.514095,5.926997,6.432176,6.390921,6.602574,6.386226,5.72588,5.994028,6.48325,6.531227,6.314799,6.352216,5.701678,6.266406,6.47482,5.738681,6.660849,6.447192,6.549335,6.649837,6.525362,6.615466,NA,6.4232,6.65293,6.574652,6.098708,6.718354,6.113552,5.688569,6.513298,6.349379,5.65958,6.692999,6.305346,6.270732,6.623992,6.20894,NA,6.223053,5.775491,6.143588,6.633659,6.287438,6.072763
22227,"S","1507NS15",6.083162,5.625142,6.412869,5.933873,6.243777,5.872903,5.289005,5.636606,5.756566,5.805667,6.440816,5.957473,5.717563,NA,5.856078,6.187711,4.90244,5.987118,5.545644,5.649363,5.41809,5.770036,5.162226,5.79108,5.419221,5.375824,6.729758,6.575973,5.981499,6.473024,6.420205,5.845813,6.649691,6.462169,6.068715,5.86658,5.838492,NA,5.830384,5.937456,5.838979,5.891929,5.95116,5.906125,5.65788,6.590835,5.932514,5.671859,5.891345,5.263874,5.713619,5.771323,5.835445,NA,5.796341,5.942008,5.807588,5.800109,5.837974,5.765191
22227,"S","1509RS64",5.931133,5.610583,6.558906,5.968179,6.346676,5.826606,5.724666,5.725629,5.765727,5.92377,6.221683,5.870762,5.694449,5.903023,6.315096,6.001123,4.963071,5.996667,4.906398,5.82502,5.777537,5.8346,5.682304,5.774644,5.377275,5.658207,6.853808,6.500082,5.798837,6.59998,6.441299,5.857374,7.022185,5.837993,5.814507,5.960778,5.824465,NA,5.781917,5.874166,5.777578,NA,5.840258,5.874426,5.70823,6.505801,5.908114,5.792966,5.763311,5.223051,5.777036,5.756498,6.51224,5.640387,5.791961,5.836868,5.841985,5.864935,5.729063,5.753
