""	"r.act60meta"
"1"	"752840_1007NS85"
"2"	"754349_1101NS86"
"3"	"754349_1103RS21"
"4"	"754356_1107NS72"
"5"	"754356_1108RS14"
"6"	"754357_1106NS70"
"7"	"754357_1108RS14"
"8"	"754362_1101NS73"
"9"	"754362_1102NS97"
"10"	"754362_1103RS15"
"11"	"755386_1101NS86"
"12"	"755386_1103RS21"
"13"	"755387_1101NS86"
"14"	"755387_1103RS21"
"15"	"755400_1101NS86"
"16"	"755761_1101NS92"
"17"	"755762_1101NS86"
"18"	"755762_1103RS21"
"19"	"755770_1101NS89"
"20"	"755770_1103RS21"
"21"	"755775_1101NS89"
"22"	"755775_1103RS21"
"23"	"755983_1102NS97"
"24"	"755983_1104RS35"
"25"	"755983_1105NS41"
"26"	"756647_1103NS18"
"27"	"756647_1105RS56"
"28"	"756652_1103NS18"
"29"	"756652_1105RS56"
"30"	"756656_1103NS18"
"31"	"756656_1105RS56"
"32"	"756657_1103NS18"
"33"	"757148_1103NS20"
"34"	"757148_1105NS53"
"35"	"757148_1106RS59"
"36"	"757148_1107RS89"
"37"	"757438_1104NS31"
"38"	"757438_1104NS34"
"39"	"757438_1106RS63"
"40"	"757438_1106RS68"
"41"	"758007_1104NS34"
"42"	"758007_1105NS47"
"43"	"758007_1106RS68"
"44"	"758007_1107RS80"
"45"	"758243_1104NS37"
"46"	"758243_1107RS76"
"47"	"758247_1104NS37"
"48"	"758247_1107RS76"
"49"	"758485_1105NS41"
"50"	"758871_1107RS87"
"51"	"758872_1105NS51"
"52"	"758872_1106NS64"
"53"	"758872_1107RS87"
"54"	"758872_1108RS06"
"55"	"759659_1106NS60"
"56"	"759659_1108RS99"
"57"	"759660_1106NS60"
"58"	"759660_1108RS99"
"59"	"759661_1106NS60"
"60"	"759661_1108RS99"
"61"	"759676_1106NS64"
"62"	"759676_1108RS06"
"63"	"760444_1107NS72"
"64"	"760444_1108RS14"
"65"	"760843_1108NS96"
"66"	"761190_1108NS94"
"67"	"761190_1110RS36"
"68"	"761192_1108NS03"
"69"	"761192_1110RS36"
"70"	"761217_1108NS03"
"71"	"761760_1110NS32"
"72"	"761760_1112RS69"
"73"	"762064_1110NS49"
"74"	"762064_1201RS81"
"75"	"764040_1203NS24"
"76"	"764040_1205RS67"
"77"	"764041_1203NS24"
"78"	"764041_1205RS67"
"79"	"764043_1203NS24"
"80"	"764043_1205RS67"
"81"	"764091_1203NS27"
"82"	"764091_1205RS67"
"83"	"764092_1203NS27"
"84"	"764092_1205RS67"
"85"	"764516_1204NS39"
"86"	"764516_1206RS81"
"87"	"764517_1204NS39"
"88"	"764821_1204NS58"
"89"	"764821_1207RS01"
"90"	"765695_1206NS89"
"91"	"765695_1207RS18"
"92"	"765866_1206NS91"
"93"	"766271_1207NS11"
"94"	"766908_1208NS28"
"95"	"766908_1211RS73"
"96"	"766991_1208NS28"
"97"	"766991_1211RS73"
"98"	"766992_1208NS28"
"99"	"767006_1208NS29"
"100"	"767006_1211RS73"
"101"	"767124_1209NS42"
"102"	"767124_1211RS79"
"103"	"767600_1209NS50"
"104"	"767951_1210NS62"
"105"	"772196_1301NS08"
"106"	"772196_1304RS64"
"107"	"773394_1304NS58"
"108"	"773394_1307RS19"
"109"	"774829_1304NS73"
"110"	"776996_1308NS51"
"111"	"776996_1311RS77"
"112"	"777445_1309NS79"
"113"	"777445_1311RS89"
"114"	"777448_1309NS79"
