""	"BR:MCF7"	"BR:MDA-MB-231"	"BR:HS 578T"	"BR:BT-549"	"BR:T-47D"	"CNS:SF-268"	"CNS:SF-295"	"CNS:SF-539"	"CNS:SNB-19"	"CNS:SNB-75"	"CNS:U251"	"CO:COLO 205"	"CO:HCC-2998"	"CO:HCT-116"	"CO:HCT-15"	"CO:HT29"	"CO:KM12"	"CO:SW-620"	"LE:CCRF-CEM"	"LE:HL-60(TB)"	"LE:K-562"	"LE:MOLT-4"	"LE:RPMI-8226"	"LE:SR"	"ME:LOX IMVI"	"ME:MALME-3M"	"ME:M14"	"ME:SK-MEL-2"	"ME:SK-MEL-28"	"ME:SK-MEL-5"	"ME:UACC-257"	"ME:UACC-62"	"ME:MDA-MB-435"	"ME:MDA-N"	"LC:A549/ATCC"	"LC:EKVX"	"LC:HOP-62"	"LC:HOP-92"	"LC:NCI-H226"	"LC:NCI-H23"	"LC:NCI-H322M"	"LC:NCI-H460"	"LC:NCI-H522"	"OV:IGROV1"	"OV:OVCAR-3"	"OV:OVCAR-4"	"OV:OVCAR-5"	"OV:OVCAR-8"	"OV:SK-OV-3"	"OV:NCI/ADR-RES"	"PR:PC-3"	"PR:DU-145"	"RE:786-0"	"RE:A498"	"RE:ACHN"	"RE:CAKI-1"	"RE:RXF 393"	"RE:SN12C"	"RE:TK-10"	"RE:UO-31"
"758007_1104NS34"	5.411337	NA	5.909858	5.492227	5.520505	5.625069	5.740545	5.90543	5.267518	5.655267	5.315806	5.528455	5.098611	5.650558	5.394311	5.532922	6.718496	5.535529	5.47433	5.584881	7.415877	5.81201	4	5.534239	5.723716	5.668782	NA	5.494741	5.399261	5.584406	5.322324	5.619388	5.574458	NA	5.503335	5.640086	5.24375	5.898748	5.891081	5.573572	5.334333	5.489704	5.405892	5.620845	5.44023	5.563137	5.43375	5.434803	5.548084	5.55626	5.468409	5.46147	5.460225	6.359781	5.543235	5.591918	5.561399	5.620388	5.495794	5.721086
"758007_1105NS47"	5.408469	5.634435	5.854452	5.459133	5.474723	5.692377	5.678155	5.886124	5.301572	NA	NA	5.485985	5.039584	5.660888	5.305195	5.666448	7.061411	5.555147	NA	5.639138	7.499527	5.698937	5.426641	5.619092	5.689514	5.700666	5.609637	NA	5.373781	5.769252	NA	5.664026	5.694935	NA	NA	5.525853	5.210912	6.298223	6.440432	5.544829	5.302032	5.494641	5.320341	5.657477	5.415671	5.567836	5.354545	NA	5.531023	5.489865	5.597742	5.423644	5.512752	6.458791	5.481293	5.699585	5.769446	5.687849	5.556941	5.797235
"758007_1106RS68"	5.611085	5.687626	5.734637	5.281454	5.528537	5.436221	5.571528	5.758584	5.28381	5.775716	5.278447	5.446661	4.923361	5.59508	5.325432	5.519841	6.451827	5.446935	NA	5.371328	NA	5.669253	NA	5.592064	5.59768	5.733274	5.54202	5.401844	5.514565	5.8031	5.461122	5.671317	5.506475	NA	5.513708	5.476289	5.381866	5.589202	6.202078	5.445665	5.380944	5.435342	5.653428	5.57427	5.300312	5.778571	5.322069	5.419746	5.505899	5.513728	5.080549	5.139683	5.4645	5.713995	5.426058	5.464474	5.758374	5.685355	5.432692	5.726676
"758007_1107RS80"	5.466768	5.664659	5.840723	5.289769	5.580374	5.59927	5.734853	5.813954	5.308995	5.671375	5.395662	5.508015	5.120816	5.653588	5.417005	5.50988	6.765227	5.540081	5.543405	5.470691	NA	5.64991	5.595416	5.584262	5.608192	5.76261	5.630463	NA	5.413685	5.606017	5.502498	5.743598	5.607401	NA	5.489085	5.437228	5.1775	NA	5.863854	5.546221	NA	5.449185	NA	5.546674	5.435011	5.616887	5.419349	5.477846	4.938716	5.486513	5.423702	5.435688	5.423071	6.565217	5.484396	5.597971	5.738434	5.695862	5.377876	5.658547
"758243_1104NS37"	7.643839	5.430723	5.592474	5.568702	4.956614	5.660494	6.108027	5.751873	4.852511	5.957547	5.424667	7.228193	4.964577	6.226163	5.726283	8	6.988751	6.443836	6.186088	NA	4.894158	4.90886	5.241741	5.365322	6.085621	4.92072	5.556604	NA	4.906849	5.45594	7.388971	5.612863	5.055556	NA	6.50663	6.181953	6.241538	NA	6.297366	6.347044	5.281809	6.505051	5.438109	5.812848	4.970521	5.44218	6.871394	5.241466	5.269088	5.479938	5.783838	5.590249	5.60488	6.120769	5.519349	6.361413	5.900236	5.435354	6.476937	5.679863
"758243_1107RS76"	7.387586	5.584058	NA	5.460031	5.297214	5.522912	6.042388	5.463012	4.969836	5.857868	5.190435	7.371973	5.440349	6.254991	5.620752	7.976636	6.818783	6.48902	6.295933	NA	NA	5.297927	4.967054	NA	5.829827	4.940848	5.648118	5.5789	4.949781	5.379335	6.453125	5.742555	4.982863	NA	6.324825	5.65358	5.293408	8	6.07585	5.853784	5.319331	6.576793	5.357143	5.71898	5.147059	5.54623	5.813175	5.203263	5.15814	5.124259	5.919604	NA	5.506999	5.945177	5.427412	5.917472	5.785288	5.464039	5.977586	5.432281
"758247_1104NS37"	6.65884	4.881376	4.828057	4.870172	4.716253	4.982378	4.907743	4.869304	4.903391	4.977515	5.621011	5.65665	4.977732	5.534738	5.391169	5.954904	6.388215	6.400286	6.263363	6.942506	5.476393	6.489276	7.012483	5.724882	6.095628	5.10124	5.087539	4.909948	4.881168	5.309859	5.616773	4.917461	5.303097	NA	5.514453	4.922706	4.8514	7.359903	4.980781	4.936948	5.435484	5.695163	4.785438	5.278042	4.781341	4.891009	4.998279	4.87134	4.952393	4.795522	5.927536	5.007784	5.175651	5.287604	6.075515	5.983884	5.552532	5.021622	6.360656	5.893885
"758247_1107RS76"	5.807456	5.132743	NA	4.864336	4.959852	4.956709	4.870819	4.834154	4.962747	4.963072	5.122549	6.092756	4.971231	5.491201	5.320659	6.07266	6.022695	6.558368	6.037676	5.447514	NA	6.033188	6.131661	NA	5.574664	5.06621	4.991426	4.969971	4.94242	5.868123	4.901459	4.998701	5.070976	NA	5.350662	4.881225	4.931003	4.830528	5.452802	4.972687	5.468117	5.800792	4.986575	4.989384	4.81764	5.013055	5.134146	4.908909	5.071588	4.760515	5.590509	NA	5.41986	5.370732	5.900814	5.601397	5.533026	5.242913	6.185714	5.276376
"758485_1105NS41"	6.044156	5.059585	6.359223	5.46984	5.25	5.574338	5.35415	5.913527	4.777115	5.915264	5.360367	6.01139	4.96535	5.763286	4.482061	NA	5.875161	5.879242	6.243854	5.136882	5.512719	5.483922	5.298542	6.248647	5.982532	4.879311	5.1319	5.117347	4.959651	4.991139	4.884628	5.115713	5.628521	NA	5.1072	5.152738	5.549561	5.945358	6.440247	5.446471	5.003363	5.371538	4.949587	5.173532	5.106934	5.15643	NA	5.040072	5.091374	4.351614	5.436732	4.949393	4.991674	5.818438	NA	4.641795	5.796176	5.431597	5.229464	4.859992
"758871_1107RS87"	8	7.411422	7.841137	7.775485	8	7.474542	7.916111	7.563941	7.163929	8	7.47777	7.29159	7.378706	7.082022	7.561564	7.3	7.307199	7.307214	7.1489	6.354043	NA	7.345455	NA	NA	7.556522	8	7.517337	7.160654	7.942573	7.671134	7.746499	7.685673	7.585241	NA	7.597043	7.553333	7.461716	NA	7.872366	7.425269	7.465894	8	NA	8	7.554679	8	7.53643	7.470259	7.868849	7.233716	7.928448	7.376761	7.380379	8	7.583548	7.431291	8	7.557423	7.83352	8
"758872_1105NS51"	4.969535	4.944989	6.321708	4.81167	5.79021	5.382822	4.981131	5.066071	4.811285	6.791604	4.984651	4.875484	4.750054	5.140954	5.27792	6.196655	6.173688	4.775701	4.581952	NA	6.512572	4.896343	4.716268	5.016426	5.88125	4.938367	4.834384	NA	4.892326	4.903069	4.777104	4.849845	4.908468	NA	NA	6.144757	5.369646	5.532508	4.822585	4.907515	6.706044	4.787539	NA	6.781485	5.199092	4.780486	5.91821	4.986238	6.378739	4.88403	4.77012	5.384265	5.342308	5.858446	6.453833	6.345179	6.188389	6.238057	NA	6.483563
"758872_1106NS64"	NA	NA	5.929326	4.809186	5.294643	5.079835	4.994949	5.169861	4.928676	6.592811	4.943681	5.14095	4.793462	5.087095	5.496289	6.225042	5.631058	4.700714	4.801411	4.677631	6.196239	4.880428	4.619673	NA	5.853405	4.851842	4.783895	4.773446	4.875297	NA	4.777384	4.7942	4.837334	NA	5.123997	6.190122	5.028186	6.16712	4.870074	4.962664	6.517914	4.651125	6.827211	6.716789	5.451957	4.835751	6.027717	4.928963	6.205535	5.182476	4.562675	5.385753	5.634831	6.004515	6.505417	6.211735	5.79527	6.136704	6.132594	6.276561
"758872_1107RS87"	4.928351	5.0978	6.051351	4.805003	6.409491	5.404491	5.266245	5.108142	4.959545	6.877207	4.931103	5.102459	4.792042	5.032148	5.484587	6.127124	5.81439	4.776745	4.481495	4.807458	NA	4.809844	NA	NA	6.089855	4.778081	4.806828	4.815519	4.831039	4.936788	4.803023	4.838254	4.879246	NA	5.506637	5.901549	5.224886	NA	4.730358	4.941533	6.298116	4.803906	NA	6.366928	5.377895	4.982981	5.98489	5.183491	6.407332	5.008689	4.600634	5.540952	5.092824	6.560811	6.462744	6.26987	6.200599	6.183089	6.271753	6.317851
"758872_1108RS06"	6.081067	5.431571	6.240591	4.802817	6.152752	5.438115	5.693528	5.404086	4.96908	6.479089	4.939177	4.913804	4.676581	4.972583	5.255039	6.242188	5.899109	4.771331	4.803177	4.699307	6.544531	4.750849	4.799718	NA	5.530317	4.839954	4.823206	4.754294	4.869135	4.991742	4.923016	4.840201	4.8522	NA	5.204787	5.693044	5.421392	6.804286	4.79196	4.837166	6.244208	4.680153	6.735961	6.5825	5.698706	4.876919	5.861287	5.174084	6.431439	4.828864	4.921907	5.406439	5.32853	6.681655	6.414036	6.148	6.230546	5.975908	6.115971	6.429468
"759659_1106NS60"	5.583708	6.134272	5.464849	5.710299	5.673625	5.576802	5.792351	5.648018	5.571993	5.681731	5.77447	5.892782	6.474613	5.775042	5.714954	5.676467	5.760612	5.746717	7.087363	6.225502	5.610352	6.73506	6.210709	5.655672	5.835257	5.700411	5.737284	5.729579	5.708765	5.806498	5.803043	5.835695	5.786198	NA	5.767227	5.838292	5.796225	7.632395	5.756144	5.740435	5.686028	5.703731	5.699107	5.626048	5.787033	5.724766	NA	5.642689	5.912796	5.387524	5.771491	5.455093	5.727145	7.660784	NA	5.717342	5.931321	5.821938	5.919466	5.800509
"759659_1108RS99"	5.769334	6.251227	5.685662	5.707147	5.704052	5.694187	5.843281	5.715583	5.692036	5.693119	5.720332	5.923359	6.455756	5.767709	5.675368	5.763259	5.768597	5.804009	7.330481	6.26513	NA	7.07871	6.720297	5.607586	5.871649	5.697078	5.738482	5.756314	5.811412	5.799036	5.772432	5.854703	5.786218	NA	5.758968	5.848276	5.726212	7.051961	5.827138	5.779735	5.778057	5.753176	5.749592	5.641336	5.795098	5.913557	5.732604	5.677667	5.869456	5.601219	5.778308	5.662774	5.722473	7.778462	5.765324	5.810425	7.052083	5.807285	5.866172	5.717602
"759660_1106NS60"	6.715645	6.301661	6.827223	6.888089	7.260406	6.46824	6.606094	6.397142	5.730858	6.553779	6.021148	5.746441	6.180281	5.901007	6.119829	5.764135	6.377772	5.73458	6.429695	5.334453	6.301861	6.480148	6.552889	6.52371	6.245121	7.356159	6.532152	6.891467	6.659194	6.366614	6.616046	6.746727	6.438139	NA	5.791983	6.227341	6.406126	7.838334	6.258716	6.261013	6.66012	6.517091	6.999489	6.627269	6.393554	6.724744	NA	6.358981	6.564008	6.256138	6.788048	5.82361	6.294671	7.086836	NA	6.272463	6.673799	6.716332	6.744715	6.69587
"759660_1108RS99"	6.900924	6.516159	6.912981	7.166667	7.432407	6.59388	6.660472	6.623285	6.014925	7.488771	6.331633	6.194954	6.512371	6.26763	6.38719	6.078242	6.585944	6.087949	6.783281	5.673891	NA	6.315852	6.913148	6.535863	6.623277	7.700061	6.786765	7.04291	6.854527	6.641553	6.792469	6.742282	6.64367	NA	6.038941	6.414234	6.625391	7.761904	6.659851	6.135149	6.956259	6.677986	7.295072	6.808132	6.800792	6.892429	6.539541	6.502216	6.73916	6.526923	6.990393	6.004685	6.632779	7.251992	6.376356	6.689622	6.787254	6.666792	6.904054	7.080696
"759661_1106NS60"	5.90807	5.845108	5.898086	5.723669	4.969946	5.827757	5.31512	6.212177	5.700188	5.967424	6.010256	5.938688	5.794606	6.170815	6.299907	5.979395	7.357434	6.219702	5.836124	5.894764	6.223316	6.457366	5.888025	6.326545	6.318757	5.988652	6.336066	6.249028	5.78479	5.870142	5.825206	5.877633	5.985029	NA	6.251679	5.533011	5.971928	5.868687	6.15925	5.785588	6.222468	6.366185	5.857483	6.404966	5.82086	6.065204	NA	5.890195	6.430624	5.694733	5.864766	5.988425	5.944151	NA	NA	6.552617	6.522441	6.427397	5.933232	6.541867
"759661_1108RS99"	6.208207	5.916468	6.305177	5.859178	5.816728	5.88888	5.919844	6.281746	5.742648	6.348604	5.970408	6.091981	5.95673	6.245693	6.311111	6.10334	7.537917	6.326114	6.321241	6.236097	NA	6.355924	5.976729	6.325622	6.322949	6.101959	6.438104	6.507013	5.857316	5.879624	5.718963	5.970121	6.038111	NA	6.200718	5.712711	5.964493	6.544661	6.40043	5.845084	6.118858	6.5	6.143182	6.570668	5.846266	6.346875	5.848011	5.909607	6.411631	5.811716	6.007188	6.019841	5.898898	6.650081	6.474641	6.789364	6.807333	6.339735	5.950495	6.378116
"759676_1106NS64"	NA	NA	7.214505	7.283733	6.714887	6.651903	5.97722	6.895703	6.437248	7.323628	6.518979	5.119579	5.606606	6.296823	7.063462	5.3393	6.534317	6.413863	6.286525	6.371429	5.515437	6.968664	6.482456	NA	6.823579	7.448593	6.913849	6.947732	6.817013	NA	6.010843	5.984478	6.946282	NA	6.469968	6.668096	6.516379	7.595455	5.376908	6.604147	6.847436	6.446206	7.240885	6.676271	6.785739	6.394134	5.713789	6.588139	7.090136	6.831445	7.29694	6.748848	6.703733	5.559247	7.174141	6.608659	7.471101	7.196617	5.872973	7.415483
"759676_1108RS06"	6.568088	6.468662	7.264941	7.29191	6.632593	6.762752	5.854536	6.828784	6.456098	7.469283	6.403001	4.835718	5.858547	6.253971	6.743448	5.03204	6.551761	6.512689	6.547745	6.93009	6.225618	7.013209	6.768858	NA	6.778349	7.407557	6.877372	6.718754	6.821344	6.580704	6.443531	5.972271	6.87834	NA	6.52756	6.674347	6.744825	7.653759	5.393885	6.536381	6.626009	6.442815	7.128077	6.296024	6.674815	6.508747	5.533983	6.657875	6.989485	6.670361	7.419317	6.701643	6.570137	5.854902	6.939197	6.38656	6.727435	6.872619	5.929011	7.487561
"760444_1107NS72"	5.937751	5.627407	NA	5.4121	5.812088	5.518151	6.26371	5.549644	5.442261	5.669271	5.965778	5.765558	5.692891	5.815617	5.680384	5.979278	5.866964	5.701048	5.534398	5.815352	NA	5.649343	5.684476	NA	5.800154	6.304511	7.081565	5.946224	5.701816	5.892893	5.92549	6.379202	6.691578	NA	5.667426	5.667597	5.55325	7.524096	5.448496	5.58978	5.213695	5.667074	6.550885	5.771956	5.538142	5.775187	5.2468	5.626683	5.392437	5.557519	5.78282	NA	5.525	6.052203	5.541193	5.505837	5.796713	5.654884	5.706181	5.833866
"760444_1108RS14"	5.681736	5.568586	5.556922	5.58743	5.366505	5.524834	6.281707	5.551787	5.060084	4.990419	5.742636	5.507705	5.800733	5.844914	5.681541	5.816393	5.986049	5.778266	5.65554	5.960958	6.174412	5.6159	5.917742	6.78165	5.948669	5.78626	7.092807	5.765042	5.404289	5.597886	5.802143	6.375	6.835531	NA	5.709256	5.639468	4.964722	5.996954	4.997948	5.566545	4.93756	5.743716	5.816032	5.492266	5.650026	5.565811	5.257732	5.486064	4.888525	5.631219	5.882736	5.742008	5.497505	NA	5.489031	5.516513	5.440789	5.555044	5.473417	5.577496
"760843_1108NS96"	4.637073	4.514074	4.664609	4.533564	4.773568	4.439129	4.527538	4.843075	4.287374	5.727829	4.416811	4.420141	4.364236	4.472776	4.596529	4.438902	4.392125	4.328282	4.624714	4.485483	NA	4.565645	4.60808	4.583652	4.642788	4.747113	4.67812	4.648997	4.591824	NA	4.499714	4.833384	4.571711	NA	4.515577	4.588171	4.320603	4.736141	4.990712	NA	4.257004	4.637774	4.589712	4.657552	4.557955	4.745008	4.291895	4.506109	4.488277	4.536563	4.520969	4.665639	4.361771	5.297036	4.98193	4.589729	5.062253	4.569479	4.169968	4.659139
"761190_1108NS94"	8	7.586176	8	6.767857	8	7.944097	8	7.637966	7.586965	7.665746	7.934824	7.936927	7.883539	8	7.178799	8	7.718155	8	8	8	NA	8	8	8	7.896604	8	8	7.840272	8	7.893086	7.566759	8	8	NA	7.684569	7.865389	7.830644	NA	7.362087	7.569916	7.9289	8	8	7.903621	7.936677	7.823758	8	8	7.849392	7.710554	8	8	7.541407	8	7.685047	7.815487	7.969587	7.526609	8	7.812538
"761190_1110RS36"	8	7.505759	8	6.574681	8	7.665688	7.834191	7.571132	7.640027	8	8	8	7.950994	8	7.161472	8	7.710753	8	NA	7.968046	8	8	7.820051	8	7.89215	8	7.868077	8	7.877099	8	8	8	8	NA	7.916533	7.410972	8	8	7.668769	7.646987	NA	8	8	7.645226	7.865973	7.759312	8	8	7.899582	7.640097	7.889098	8	7.58071	8	7.788905	7.61554	8	7.602933	7.908732	7.96869
"761192_1108NS03"	7.343152	5.463528	4.896601	4.562957	7.153326	6.229093	6.498104	6.177695	4.924858	4.608806	6.264807	6.23029	5.427177	7.061417	5.657645	6.376318	6.108394	5.74031	6.489715	6.72495	6.533525	6.370892	5.28306	NA	7.185339	4.688066	6.294384	6.167846	5.413504	6.445809	6.228312	7.260856	5.378266	NA	6.144928	4.800516	4.761471	NA	7.097594	5.751856	4.806716	6.453983	5.96466	5.125573	5.396552	4.765323	4.882632	6.019832	4.663131	4.235828	4.717877	6.356982	6.206811	6.862813	6.479123	6.310774	4.91669	6.302157	5.045872	4.957895
"761192_1110RS36"	7.482618	4.52684	4.650672	4.721706	7.280297	6.293441	6.447448	5.607834	4.883301	4.755236	6.240485	6.330386	5.626652	6.917079	5.514953	6.118376	5.782707	5.212452	NA	6.616279	6.250911	6.492627	5.250917	7.082612	7.159119	4.632492	6.000381	6.093064	5.395238	6.584261	5.752976	6.874068	5.101748	NA	6.052319	4.539896	6.219843	NA	5.78555	5.995902	NA	6.479348	4.996829	5.086879	5.668998	4.843964	4.687309	6.149655	5.394309	4.089117	4.820841	6.473958	6.139724	6.955357	6.430556	6.257839	4.982093	6.121539	4.658549	NA
"761217_1108NS03"	4.525713	4.234272	4.35625	4.18336	4.528846	4.252759	4.310566	4.269672	4	4.273116	4	4.349037	4	4.136652	4.041595	4.507505	4.493764	4	4.689911	4.481751	4.331398	4.665919	4.857025	NA	4.548412	4.24078	4.421981	4.305944	4.151434	4.839866	4.436485	4.505371	4.503555	NA	4.362197	4.089085	4	NA	4	4.333262	4	4.436839	4.18125	4.113438	4.431145	4.352008	4	4.202488	4	4.157134	4.950678	4	4	5.5	4.446078	4.777401	4.729765	4.363008	4.502925	4.366388
"761760_1110NS32"	6.415411	5.659952	5.86107	5.7979	5.232727	5.607568	5.38555	5.693789	5.415584	5.89066	5.650289	6.796758	5.785142	5.822389	5.596549	7.097652	7.674941	5.968675	5.396531	7.246705	5.532173	5.503147	5.492376	6.52951	6.410365	5.660377	6.113595	5.790692	5.568343	5.543956	6.463768	5.537245	5.918775	NA	5.880265	5.590801	5.514894	NA	5.770323	5.912796	5.765318	6.231473	5.733415	6.014069	5.147603	5.103947	5.959613	5.490729	5.341442	5.552698	5.295904	5.526926	5.911674	6.185526	5.361443	5.836143	5.945274	5.959981	5.725039	5.931285
"761760_1112RS69"	6.849832	6.16383	6.102651	5.675794	5.526987	5.762929	5.74615	NA	5.550641	5.987544	5.916116	7.062769	5.821675	5.746204	5.767037	7.24712	7.914046	5.991004	NA	NA	NA	NA	NA	NA	6.413959	5.890581	5.953916	5.614539	5.765239	5.799394	6.365123	5.716694	6.02138	NA	6.208282	5.992718	5.814345	NA	7.114989	5.867952	5.904096	6.354083	5.768115	6.066338	5.358745	5.648058	6.383929	NA	NA	5.54231	5.567001	6.165833	5.920486	6.726644	5.732515	6.448426	6.546967	6.236062	5.896681	6.560059
"762064_1110NS49"	5.761127	6.676495	5.687004	5.683291	5.745232	5.709001	5.766107	5.690809	5.638311	5.841997	5.768912	5.893477	6.798422	5.808837	5.699444	5.720175	5.768289	5.88764	NA	6.071008	5.592254	6.959061	6.394502	5.728857	5.818882	5.669546	5.740181	5.799102	5.814269	5.792737	5.911047	5.824761	5.760341	NA	5.800495	5.79669	5.78169	NA	5.780474	5.736209	NA	5.745925	5.748594	5.650786	5.818867	6.037217	5.725578	5.729129	5.935769	5.611648	5.853768	5.601269	5.733059	8	5.804063	5.705917	6.544118	5.792173	5.979149	5.658259
"762064_1201RS81"	5.714559	6.527233	5.665099	5.77562	5.7676	5.634115	5.82593	5.719957	5.612705	5.817415	5.760954	6.098186	6.560442	5.82526	5.688408	5.657883	5.761739	5.782891	7.247244	6.211456	5.469515	6.970633	5.989052	5.481826	5.880831	5.733394	5.800679	5.723921	5.798138	5.794333	5.796251	5.780291	NA	NA	5.768757	5.760888	5.690211	7.227092	5.752941	5.720882	5.78886	5.679714	5.651093	5.786259	5.733825	5.897659	5.749522	5.599848	5.825891	5.551517	5.82484	5.476924	5.803202	8	5.78762	5.708517	5.839225	5.780605	5.850035	5.757622
"764040_1203NS24"	5.804895	5.879943	5.916351	5.812327	5.558619	5.821699	5.619426	5.720635	5.789411	6.086486	5.899272	5.578045	5.195931	5.778746	5.546409	6.101705	6.508968	6.038037	6.186656	5.792323	5.781569	5.880952	6.478939	8	5.704882	5.96706	5.75331	5.703307	5.704525	5.578542	5.773437	5.482529	5.893594	NA	5.837405	5.808099	5.838014	6.695883	5.786409	5.41555	5.734267	5.745092	5.759818	5.484709	5.816934	5.972449	5.731503	6.25311	5.709051	5.939818	6.022849	5.709464	5.737822	NA	5.700656	5.987587	5.837651	5.603484	5.816732	5.853046
"764040_1205RS67"	5.756381	5.75213	NA	5.839455	5.757738	5.789137	5.56269	5.769364	5.768568	5.889114	5.854248	5.840933	5.530352	5.73167	5.840859	6.139129	6.437426	6.030287	6.068526	5.746435	5.068627	5.728153	6.04172	7.65623	5.870488	5.73286	5.830098	5.458423	5.715958	6.32123	5.502361	5.514835	5.780343	NA	5.894824	NA	6.304661	6.131733	5.725576	5.689064	5.523694	5.921614	6.106343	5.726639	5.733047	6.404183	5.902817	6.123174	5.859788	6.055052	6.049037	5.84733	5.71795	6.088018	5.734402	5.811693	5.809925	5.700829	5.742544	5.966168
"764041_1203NS24"	7.033514	6.173115	5.868319	5.737015	5.814901	6.21734	6.164595	5.844373	5.653824	6.075665	6.058437	6.962005	5.969807	6.476898	5.698664	7.258698	6.486717	6.575435	6.420005	6.695337	5.945754	6.06513	6.389353	8	6.568166	5.960485	5.960248	5.991401	5.769457	5.841351	5.925436	5.889647	6.475624	NA	6.421099	6.310908	6.217176	7.593023	6.101894	6.079848	5.930084	6.408353	6.466667	5.809932	5.809124	6.596573	6.145042	5.799869	5.666897	5.945759	5.774945	5.90735	5.935173	NA	6.145833	6.372987	6.308013	6.210289	6.296709	5.935955
"764041_1205RS67"	6.852862	6.130349	NA	5.624203	5.783353	5.962455	5.324038	5.872605	5.715352	5.997658	5.941069	6.920642	5.970211	6.41633	5.727857	7.168036	6.419386	6.368908	6.324517	6.275156	5.610009	6.119214	5.678912	8	6.38953	5.797024	5.910917	5.760708	5.751979	5.884923	5.894921	5.964685	6.349424	NA	6.370642	NA	6.549749	7.051887	6.570323	5.875778	5.822934	6.029995	6.093503	5.901516	5.497368	6.338876	6.217105	5.556366	5.809731	5.832365	5.555323	5.765684	5.969174	6.579561	6.092841	6.001572	6.136015	6.21434	5.908104	5.96751
"764043_1203NS24"	7.19315	6.125984	6.858108	6.108243	6.375178	4.961275	6.684766	6.138288	6.152326	7.587667	6.080025	6.285377	6.30521	6.372459	6.548887	6.773378	5.10273	4.939653	6.306406	7.046506	6.327148	5.966146	6.899109	6.839394	6.651771	4.934682	6.274941	5.520913	5.650463	6.58937	6.650974	7.093692	6.460809	NA	6.219912	5.498408	6.463918	7.630668	5.468284	6.293349	6.021719	5.650706	6.995008	6.06869	5.595016	6.796154	4.924486	6.099338	6.208443	6.212729	5.593318	4.918376	6.048184	NA	6.126943	7.433113	5.545377	5.091	6.936441	7.099457
"764043_1205RS67"	6.668637	6.16619	NA	5.771104	6.556901	4.9141	6.190747	6.25069	6.250294	7.38913	5.143372	6.559061	6.537625	6.340144	6.474675	6.586946	6.077195	4.986846	6.07551	6.80639	5.933219	5.618105	6.798919	6.44066	6.663545	4.952354	6.445205	4.996201	5.757463	7.440464	6.357991	6.850816	6.455594	NA	6.053447	NA	6.729825	7.361413	5.635061	6.401035	6.150651	5.966357	6.498941	6.116667	6.21775	7.023218	NA	6.016698	6.03417	6.378606	6.007593	4.827564	6.387916	6.573058	6.221248	7.146953	5.876359	5.034722	6.686217	7.296804
"764091_1203NS27"	7.333522	6.46645	7.350998	7.197637	7.54188	6.721064	7.163884	6.670952	6.455377	7.51751	6.428819	6.628408	6.484672	6.647718	6.532937	6.776617	6.429518	6.541495	6.543113	6.900956	5.766393	6.915217	6.749643	6.604076	6.762455	7.351473	7.236735	6.772829	6.861253	6.709766	6.843776	6.960054	6.730015	NA	6.689179	6.676818	6.640893	7.73926	6.743007	6.723673	6.693738	6.931407	6.941374	7.367719	6.672446	6.701604	6.901504	6.584601	6.960161	6.390538	7.058394	6.639483	6.802737	7.574507	6.654329	6.67787	6.955662	6.748421	6.902891	7.32255
"764091_1205RS67"	7.508082	6.365141	NA	7.176488	7.598125	6.65884	7.006752	6.637656	6.552596	7.740929	6.539807	6.635408	6.74846	6.54887	6.679182	6.744081	6.38194	6.547401	6.441162	6.532114	5.475583	6.797358	6.620959	6.56008	6.733295	7.240724	6.820196	6.63529	6.93583	6.808949	6.914147	7.026825	6.728841	NA	6.679126	NA	6.839314	7.743573	6.855892	6.760248	6.573291	7.003784	6.671709	7.216089	6.805556	6.983536	6.880968	6.633204	6.943597	6.387797	7.188476	6.585162	6.794893	7.5212	6.83805	6.665563	6.896173	6.772451	6.862536	7.22962
"764092_1203NS27"	8	7.442138	8	8	8	7.750762	8	8	7.918005	8	7.664435	8	7.870886	7.936211	8	8	7.527077	7.675852	7.640787	8	6.555267	8	7.602525	7.531429	8	8	8	8	8	7.76574	8	8	8	NA	8	7.887512	7.829027	8	7.512758	7.798721	8	8	7.961783	8	7.921275	7.548771	8	7.721871	8	7.582011	8	7.790572	8	8	7.884788	8	8	8	8	8
"764092_1205RS67"	8	7.272041	NA	8	8	7.910798	8	8	7.877342	8	8	8	7.879554	7.680523	8	8	7.512129	7.620899	7.523198	8	6.471628	8	7.451102	7.853811	7.945531	8	8	8	8	7.858303	8	8	7.862756	NA	8	NA	8	8	7.8492	7.7189	8	8	8	8	8	7.777714	8	7.800122	8	7.634525	8	7.778271	8	8	8	8	8	8	8	8
"764516_1204NS39"	6.866181	5.516791	6.838751	6.905162	6.964899	6.151569	6.750136	6.353641	5.59581	7.413043	6.225069	6.335994	6.148683	6.148283	6.313837	6.486884	6.17197	5.97897	6.13503	6.532689	5.325296	6.481923	6.396643	6.238372	6.306301	6.86153	6.41916	6.199001	6.688514	6.280039	6.668555	6.489896	6.470611	NA	6.442824	NA	5.806698	7.134529	NA	6.182214	6.599946	6.580094	6.684233	6.881218	6.505612	6.212475	6.357566	6.343256	6.639391	6.238138	6.900999	6.367188	6.625994	7.86861	6.290547	6.572235	6.866012	6.405623	6.687661	6.943114
