""	"BR:MCF7"	"BR:MDA-MB-231"	"BR:HS 578T"	"BR:BT-549"	"BR:T-47D"	"CNS:SF-268"	"CNS:SF-295"	"CNS:SF-539"	"CNS:SNB-19"	"CNS:SNB-75"	"CNS:U251"	"CO:COLO 205"	"CO:HCC-2998"	"CO:HCT-116"	"CO:HCT-15"	"CO:HT29"	"CO:KM12"	"CO:SW-620"	"LE:CCRF-CEM"	"LE:HL-60(TB)"	"LE:K-562"	"LE:MOLT-4"	"LE:RPMI-8226"	"LE:SR"	"ME:LOX IMVI"	"ME:MALME-3M"	"ME:M14"	"ME:SK-MEL-2"	"ME:SK-MEL-28"	"ME:SK-MEL-5"	"ME:UACC-257"	"ME:UACC-62"	"ME:MDA-MB-435"	"ME:MDA-N"	"LC:A549/ATCC"	"LC:EKVX"	"LC:HOP-62"	"LC:HOP-92"	"LC:NCI-H226"	"LC:NCI-H23"	"LC:NCI-H322M"	"LC:NCI-H460"	"LC:NCI-H522"	"OV:IGROV1"	"OV:OVCAR-3"	"OV:OVCAR-4"	"OV:OVCAR-5"	"OV:OVCAR-8"	"OV:SK-OV-3"	"OV:NCI/ADR-RES"	"PR:PC-3"	"PR:DU-145"	"RE:786-0"	"RE:A498"	"RE:ACHN"	"RE:CAKI-1"	"RE:RXF 393"	"RE:SN12C"	"RE:TK-10"	"RE:UO-31"
"755386_1101NS86"	8	8	8	7.438793	8	8	8	8	8	8	8	8	8	8	7.837877	NA	8	8	8	8	8	8	8	8	7.774862	NA	8	NA	5.952896	8	8	8	8	NA	8	8	NA	8	8	8	NA	8	8	NA	8	NA	8	8	8	7.044386	8	8	8	8	8	7.513491	8	6.26461	8	5.977933
"755386_1103RS21"	8	8	8	7.294057	8	8	8	8	8	8	8	8	8	8	7.757543	8	8	8	8	8	8	8	8	8	8	NA	8	8	5.956159	8	8	8	8	NA	8	8	8	5.87537	5.923174	8	8	8	8	NA	8	5.892536	7.442748	8	8	7.59078	8	8	NA	8	5.960588	5.99619	8	8	8	5.9198
"755387_1101NS86"	7.926564	8	6.649185	7.567314	7.4746	8	7.586903	8	8	7.446897	8	7.626838	8	8	6.543365	7.543676	7.455914	8	7.788785	8	8	8	8	8	8	6.942895	7.798003	NA	7.820819	8	8	7.713328	8	NA	7.760313	8	7.624394	NA	7.687166	8	7.78799	7.719642	8	8	8	NA	7.328529	8	7.390331	4	8	8	7.908149	7.283801	7.40878	5.789164	7.750344	8	7.556728	6.462677
"755387_1103RS21"	8	8	6.391758	7.589737	7.744255	8	7.551066	8	8	7.561642	8	7.632115	8	8	6.658879	7.477049	7.393364	8	7.57823	8	8	8	8	7.932173	8	6.853382	8	8	7.746889	8	8	7.753287	8	NA	7.799148	8	7.685429	7.679231	8	8	7.901143	7.646181	8	8	8	8	7.69418	8	7.070557	5.442073	8	8	7.781309	6.727333	7.386908	5.340517	7.864319	8	7.349593	5.684735
"755400_1101NS86"	5.137417	4.940431	4.934525	4.922995	5.409363	4.946224	5.524538	5.634479	4.809504	4.83618	5.515144	5.3583	4.969068	5.368481	5.287451	5.501015	5.074192	5.21451	5.152312	NA	5.955275	5.378686	5.409666	5.528312	5.663477	5.095601	5.077744	NA	4.852862	5.699447	5.389098	4.822695	5.128165	NA	4.988175	4.881004	4.802599	4.939462	5.38481	4.94016	4.802753	5.023733	4.955219	4.825609	4.977709	NA	4.761629	5.462853	4.768425	4.628342	4.937777	4.807482	5.466429	4.90017	4.930018	4.904485	5.755732	4.727482	4.785759	4.973273
"755761_1101NS92"	4	4.485026	4.47705	4.050939	4.660778	4.300188	4.31	4	4.373524	4.712364	4.846622	4	4.181398	4.39208	4	4	4	4	4	NA	4	4	4	4	4	4.621249	4.176595	4.391133	4.145047	4.091163	4.371064	4	4	NA	4.461093	4.750583	4.77313	NA	4.547046	4.515346	4.345486	4	4	4.315911	4.669246	4.6965	4.059125	4.604597	4.48678	4.429174	4.224151	4.146055	4.490521	4.792726	4.521885	4.97333	4.709026	4	4.531429	5.583333
"755762_1101NS86"	8	7.182789	NA	4.951262	7.357067	NA	7.518377	7.065781	NA	5.345679	8	7.198208	7.613709	7.536311	7.427403	7.496353	7.69263	8	7.585145	7.605499	8	7.565339	7.489871	7.520962	7.926278	7.731436	7.433086	NA	7.278922	7.373405	7.586574	7.433218	8	NA	7.69775	5.625648	NA	7.598547	7.521654	7.155315	4.699058	8	7.572281	8	7.313291	NA	7.210258	7.339245	8	6.363753	7.169118	8	NA	7.379268	7.369869	7.328523	7.784542	NA	7.515646	7.309334
"755762_1103RS21"	7.426013	7.070995	5.606784	5.20478	7.478643	5.613095	7.565965	7.292827	7.118	NA	7.766004	7.009675	7.534589	7.473731	7.393987	7.434189	7.713429	8	7.402947	7.635511	7.530264	7.408268	7.248224	7.260528	7.67203	7.473568	7.398176	7.507426	7.240406	7.283263	7.566232	7.522511	7.555439	NA	7.612722	4.941145	7.27392	7.493086	7.255767	7.387805	5.233065	7.63474	7.382455	7.30064	7.239407	4.963751	7.190268	7.407929	8	6.644402	7.208299	7.308758	5.703195	NA	7.486207	7.130529	7.395536	7.150779	7.751037	7.370425
"755770_1101NS89"	4	7.411667	4.468092	5.564123	4.237299	4.656185	4.978622	5.010554	4.790037	4.822749	5.822289	8	8	7.872587	5.956522	8	7.529187	8	NA	8	5.738391	4.397636	NA	5.509868	8	8	8	8	8	5.777273	8	8	8	NA	6.26413	6.993884	8	NA	7.015152	7.712297	6.445	4.963807	4.656322	6.510375	4.485184	5.47886	8	4.677966	4.605176	5.063763	4.328283	5.245803	5.11794	8	5.708716	6.306039	6.610092	5.860032	NA	6.818598
"755770_1103RS21"	4.232605	6.178161	4.455641	4.372247	4.339716	4.528492	4.698988	4.594142	4.584199	4.674591	6.136047	8	8	7.281924	5.169975	8	7.152423	8	4	8	5.762723	4.076912	4.4452	4	7.790223	8	8	8	8	4.981436	8	8	8	NA	5.784211	NA	5.837963	7.423695	5.273632	7.741135	7.053061	4.682854	4.645985	6.602241	4.364394	4.6364	8	4.650704	4.569716	4.755051	4.078266	4.651515	4.213655	8	5.133013	5.781977	6.268949	4.82017	7.502551	6.221774
