"","x"
"457","768124"
"458","768126"
"459","768136"
"460","768137"
"461","768313"
"462","768314"
"463","768400"
"464","768407"
"465","768410"
"466","768465"
"467","768473"
"468","768488"
"469","768508"
"470","768509"
"471","768539"
"472","768557"
"473","768562"
"474","768565"
"475","768567"
"476","768570"
"477","768571"
"478","768572"
"479","768573"
"480","768574"
"481","768584"
"482","768585"
"483","768586"
"484","768587"
"485","768591"
"486","768592"
"487","768593"
"488","768600"
"489","768637"
"490","768649"
"491","771426"
"492","771434"
"493","771442"
"494","771458"
"495","771480"
"496","771483"
"497","771508"
"498","771512"
"499","771516"
"500","771531"
"501","771532"
"502","771536"
"503","771538"
"504","771539"
"505","771540"
"506","771546"
"507","771550"
"508","771556"
"509","771557"
"510","771558"
"511","771559"
"512","771598"
"513","771644"
"514","771650"
"515","771651"
"516","771652"
"517","771657"
"518","771660"
"519","771717"
"520","771750"
"521","771762"
"522","771787"
"523","771790"
"524","771791"
"525","771795"
"526","771796"
"527","771803"
"528","771807"
"529","771820"
"530","771827"
"531","771829"
"532","771835"
"533","772197"
"534","772198"
"535","772205"
"536","772209"
"537","772254"
"538","772255"
"539","772257"
"540","772258"
"541","772259"
"542","772260"
"543","772261"
"544","772262"
"545","772264"
"546","772265"
"547","772266"
"548","772268"
"549","772271"
"550","772274"
"551","772277"
"552","772278"
"553","772279"
"554","772280"
"555","772281"
"556","772282"
"557","772283"
"558","772284"
"559","772285"
"560","772286"
"561","772287"
"562","772288"
"563","772289"
"564","772290"
"565","772291"
"566","772296"
"567","772317"
"568","772330"
"569","772341"
"570","772344"
"571","772345"
"572","772351"
"573","772438"
"574","772451"
"575","772469"
"576","772488"
"577","772489"
"578","772490"
"579","772491"
"580","772494"
"581","772496"
"582","772533"
"583","772536"
"584","772537"
"585","772538"
"586","772541"
"587","772542"
"588","772544"
"589","772545"
"590","772548"
"591","772555"
"592","772557"
"593","772561"
"594","772563"
"595","772564"
"596","772595"
"597","772637"
"598","772643"
"599","772654"
"600","772664"
"601","772665"
"602","772666"
"603","772801"
"604","772810"
"605","772811"
"606","772812"
"607","772813"
"608","772816"
"609","772821"
"610","772823"
"611","772825"
"612","772827"
"613","772828"
"614","772839"
"615","772840"
"616","772842"
"617","772843"
"618","772844"
"619","772847"
"620","772850"
"621","772852"
"622","772868"
"623","772885"
"624","772887"
"625","772991"
"626","772992"
"627","773076"
"628","773094"
"629","773097"
"630","773102"
"631","773148"
"632","773177"
"633","773187"
"634","773189"
"635","773195"
"636","773201"
"637","773204"
"638","773205"
"639","773206"
"640","773228"
"641","773241"
"642","773242"
"643","773260"
"644","773261"
"645","773262"
"646","773263"
"647","773264"
"648","773265"
"649","773277"
"650","773278"
"651","773279"
"652","773280"
"653","773315"
"654","773319"
"655","773381"
"656","773382"
"657","773383"
"658","773385"
"659","773386"
"660","773388"
"661","773389"
"662","773392"
"663","773393"
"664","773409"
"665","774651"
"666","774702"
"667","774714"
"668","774719"
"669","774730"
"670","774736"
"671","774769"
"672","774788"
"673","774790"
"674","774816"
"675","774818"
"676","774830"
"677","774831"
"678","774841"
"679","774842"
"680","774861"
"681","774862"
"682","774901"
"683","774912"
"684","774913"
"685","774914"
"686","774918"
"687","774933"
"688","774934"
"689","774952"
"690","774957"
"691","774958"
"692","774959"
"693","774960"
"694","774979"
"695","774980"
"696","774981"
"697","774982"
"698","774989"
"699","774998"
"700","775002"
"701","775003"
"702","775010"
"703","775011"
"704","775014"
"705","775015"
"706","775029"
"707","775293"
"708","775294"
"709","775296"
"710","775306"
"711","775353"
"712","775429"
"713","775437"
"714","775440"
"715","775441"
"716","775443"
"717","775444"
"718","775445"
"719","775446"
"720","775460"
"721","775463"
"722","775467"
"723","775507"
"724","775548"
"725","775609"
"726","775632"
"727","775636"
"728","775637"
"729","775664"
"730","775723"
"731","775733"
"732","775739"
"733","775760"
"734","775761"
"735","775762"
"736","775763"
"737","775771"
"738","775877"
"739","775878"
"740","775905"
"741","775913"
"742","775951"
"743","775978"
"744","776002"
"745","776008"
"746","776015"
"747","776017"
"748","776043"
"749","776053"
"750","776066"
"751","776415"
"752","776445"
"753","776452"
"754","776453"
"755","776455"
"756","776456"
"757","776469"
"758","776480"
"759","776678"
"760","776733"
"761","776744"
"762","776751"
"763","776762"
"764","776763"
"765","776787"
"766","776790"
"767","776800"
"768","776817"
"769","776825"
"770","776877"
"771","776878"
"772","776879"
"773","776928"
"774","776971"
"775","776999"
"776","777000"
"777","777001"
"778","777002"
"779","777081"
"780","777084"
"781","777085"
"782","777095"
"783","777096"
"784","777174"
"785","777176"
"786","777178"
"787","777179"
"788","777180"
"789","777183"
"790","777185"
"791","777187"
"792","777194"
"793","777195"
"794","777196"
"795","777306"
"796","777312"
"797","777323"
"798","777334"
"799","777380"
"800","777389"
"801","777407"
"802","777408"
"803","777422"
"804","777425"
"805","777486"
"806","777571"
"807","777572"
"808","777573"
"809","777574"
"810","777638"
"811","777639"
"812","777718"
"813","777877"
"814","777879"
"815","777886"
"816","777944"
"817","777946"
"818","777947"
"819","778252"
"820","778301"
"821","778304"
"822","778305"
"823","778314"
"824","778317"
"825","778318"
"826","778351"
"827","778364"
"828","778366"
"829","778367"
"830","778368"
"831","778406"
"832","778407"
"833","778410"
"834","778436"
"835","778437"
"836","778438"
"837","778439"
"838","778440"
"839","778441"
"840","778442"
"841","778448"
"842","778538"
"843","778540"
"844","778566"
"845","778590"
"846","778653"
"847","778746"
"848","778747"
"849","778770"
"850","778776"
"851","778809"
"852","778810"
"853","778843"
"854","778871"
"855","778909"
"856","779185"
"857","779217"
"858","779218"
"859","779374"
"860","779401"
"861","779404"
"862","779405"
"863","779407"
"864","779704"
"865","779705"
"866","779706"
"867","779708"
"868","779709"
"869","780019"
"870","780020"
"871","780022"
"872","780027"
"873","780035"
"874","780042"
"875","780108"
"876","780163"
"877","780167"
"878","780168"
"879","780175"
"880","780176"
"881","780182"
"882","780183"
"883","780184"
"884","780185"
"885","780186"
"886","780198"
"887","780203"
"888","780204"
"889","780205"
"890","780249"
"891","780250"
"892","780290"
"893","780291"
"894","780404"
"895","780965"
"896","781008"
"897","781009"
"898","781016"
"899","781148"
"900","781343"
"901","781344"
"902","781468"
"903","781470"
"904","781515"
"905","781516"
"906","781556"
"907","781627"
"908","781761"
"909","782006"
"910","782007"
"911","782121"
"912","782122"
"913","782125"
"914","782153"
"915","782164"
"916","782362"
"917","782363"
"918","782549"
"919","782762"
"920","782763"
"921","783015"
"922","783102"
"923","783107"
"924","783249"
"925","783272"
"926","783294"
"927","783296"
"928","783333"
"929","783415"
"930","783538"
"931","783916"
"932","784415"
"933","784590"
"934","784591"
"935","784722"
"936","784815"
"937","784817"
"938","784856"
"939","785004"
"940","785117"
"941","785299"
"942","785306"
"943","785345"
"944","785570"
"945","785657"
"946","786098"
"947","786099"
"948","786959"
"949","787025"
"950","787026"
"951","787027"
"952","787039"
"953","787047"
"954","787048"
"955","787137"
"956","787252"
"957","787326"
"958","787457"
"959","787780"
"960","787846"
"961","787880"
"962","787960"
"963","787962"
"964","788121"
"965","788186"
"966","788203"
"967","788365"
"968","788794"
"969","788900"
"970","789041"
"971","789042"
"972","789043"
"973","789044"
"974","789099"
"975","789722"
"976","789797"
"977","789925"
"978","789968"
"979","789969"
"980","790865"
"981","791059"
"982","791163"
"983","791164"
"984","791226"
"985","791227"
"986","791328"
"987","791495"
"988","791496"
"989","791648"
"990","791785"
"991","791966"
"992","791967"
"993","791968"
"994","792847"
"995","792848"
"996","792955"
"997","792956"
"998","792970"
"999","792971"
"1000","792987"
"1001","793103"
"1002","793148"
"1003","793149"
"1004","793150"
"1005","793151"
"1006","793323"
"1007","793324"
"1008","793677"
"1009","793679"
"1010","793726"
"1011","794109"
"1012","794442"
"1013","794443"
"1014","794589"
"1015","794590"
"1016","794646"
"1017","795067"
"1018","795142"
"1019","795384"
"1020","797653"
"1021","797769"
"1022","797770"
"1023","797771"
"1024","797772"
"1025","797932"
"1026","797937"
"1027","797938"
"1028","798200"
"1029","798303"
"1030","798304"
