""	"cor.NE"	"cor.Non.NE"	"score"
"BR:MCF7"	0.3629995768484	-0.327429445912284	0.345214511380342
"BR:MDA-MB-231"	-0.578653823301906	0.522061911624328	-0.550357867463117
"BR:HS 578T"	-0.27868158322107	0.295329237558211	-0.287005410389641
"BR:BT-549"	-0.114950678379532	0.0919307389955149	-0.103440708687524
"BR:T-47D"	0.0768592291919837	-0.0716854002857355	0.0742723147388596
"CNS:SF-268"	0.0142718058722926	0.144834832578947	-0.0652815133533273
"CNS:SF-295"	0.0112006731050328	0.133552655187606	-0.0611759910412866
"CNS:SF-539"	-0.246616218652981	0.272932094336906	-0.259774156494944
"CNS:SNB-19"	0.138218032299047	-0.024063453444611	0.0811407428718292
"CNS:SNB-75"	0.0404695293935344	0.22460370784966	-0.0920670892280628
"CNS:U251"	0.209958040800776	-0.123605501520863	0.166781771160819
"CO:COLO 205"	-0.00403042322589109	-0.0757222330275446	0.0358459049008268
"CO:HCC-2998"	-0.346921496707008	0.246886804065095	-0.296904150386052
"CO:HCT-116"	-0.295162051609762	0.17898220181223	-0.237072126710996
"CO:HCT-15"	-0.192582928334525	0.202023470089586	-0.197303199212055
"CO:HT29"	-0.463683278689814	0.418374120666993	-0.441028699678404
"CO:KM12"	0.0358534362550681	-0.14871986728808	0.0922866517715739
"CO:SW-620"	0.298446567623694	-0.407477654732178	0.352962111177936
"LE:CCRF-CEM"	0.426533859384307	-0.515081703825583	0.470807781604945
"LE:HL-60(TB)"	0.372707726403194	-0.492245170366987	0.432476448385091
"LE:K-562"	0.361642201085582	-0.498260798126429	0.429951499606006
"LE:MOLT-4"	0.523574065312456	-0.51600437352295	0.519789219417703
"LE:RPMI-8226"	0.489926959291716	-0.579740843689585	0.534833901490651
"LE:SR"	0.197635690189777	-0.154156720086004	0.17589620513789
"ME:LOX IMVI"	-0.165117431223343	0.171753490662012	-0.168435460942678
"ME:MALME-3M"	0.0536200234595063	-0.0374615515796329	0.0455407875195696
"ME:M14"	-0.165665179112801	0.194127169487349	-0.179896174300075
"ME:SK-MEL-2"	0.129011177318853	0.0419258624646075	0.0435426574271229
"ME:SK-MEL-28"	0.122689390374236	-0.19497325068367	0.158831320528953
"ME:SK-MEL-5"	0.358378510508777	-0.405528266940614	0.381953388724695
"ME:UACC-257"	0.285456947676054	-0.377517602051587	0.33148727486382
"ME:UACC-62"	0.26167209484631	-0.272627684514068	0.267149889680189
"ME:MDA-MB-435"	-0.0618053542162677	-0.0220470392103626	-0.0198791575029525
"ME:MDA-N"	0.0657161073638435	-0.150606065489921	0.108161086426882
"LC:A549/ATCC"	-0.255974911591251	0.145332373019488	-0.200653642305369
"LC:EKVX"	-0.57875013392357	0.552591057095596	-0.565670595509583
"LC:HOP-62"	-0.324106936181401	0.391794890978124	-0.357950913579762
"LC:HOP-92"	-0.543107130327258	0.567360869219332	-0.555233999773295
"LC:NCI-H226"	-0.483118570745253	0.491849542038704	-0.487484056391979
"LC:NCI-H23"	0.333079996776685	-0.290000584488367	0.311540290632526
"LC:NCI-H322M"	-0.66330411469523	0.539698587474197	-0.601501351084714
"LC:NCI-H460"	0.0677849110042924	-0.120254622307721	0.0940197666560069
"LC:NCI-H522"	0.522453700116338	-0.448405572443474	0.485429636279906
"OV:IGROV1"	-0.0799299542911194	0.00663791694341226	-0.0432839356172658
"OV:OVCAR-3"	0.179777886755441	-0.149926834245605	0.164852360500523
"OV:OVCAR-4"	-0.156516527246741	0.176523840885681	-0.166520184066211
"OV:OVCAR-5"	-0.69187277631748	0.660241246353257	-0.676057011335368
"OV:OVCAR-8"	-0.0153254921920697	0.165683139799988	-0.0905043159960286
"OV:SK-OV-3"	-0.569556285185698	0.516263821926374	-0.542910053556036
"OV:NCI/ADR-RES"	0.0383685112249741	-0.0312487502927396	0.0348086307588568
"PR:PC-3"	-0.185216569936357	0.259657267414788	-0.222436918675572
"PR:DU-145"	-0.483353775558685	0.454726059000462	-0.469039917279574
"RE:786-0"	-0.306902475693781	0.359630437779669	-0.333266456736725
"RE:A498"	-0.219122045898254	0.291186513120405	-0.25515427950933
"RE:ACHN"	-0.0290012893027052	0.090883600498316	-0.0599424449005106
"RE:CAKI-1"	-0.551852060094643	0.562500026782554	-0.557176043438599
"RE:RXF 393"	-0.357412257271557	0.41387716652961	-0.385644711900584
"RE:SN12C"	-0.021489951363612	0.166422342936313	-0.0939561471499626
"RE:TK-10"	-0.0105487746964866	0.0830131578387896	-0.0467809662676381
"RE:UO-31"	-0.250750012096685	0.346143582641505	-0.298446797369095
