""	"nsc_exp_name"	"nsc"	"experiment"	"used_in_zscore"
"749_1311RS89"	"749_1311RS89"	"749"	"1311RS89"	TRUE
"749_9210NS76"	"749_9210NS76"	"749"	"9210NS76"	TRUE
"749_9302RM29"	"749_9302RM29"	"749"	"9302RM29"	TRUE
"752_8907AG38"	"752_8907AG38"	"752"	"8907AG38"	TRUE
"752_8907MD10"	"752_8907MD10"	"752"	"8907MD10"	TRUE
"752_8907NS45"	"752_8907NS45"	"752"	"8907NS45"	TRUE
"752_8907SC02"	"752_8907SC02"	"752"	"8907SC02"	TRUE
"752_8908SA09"	"752_8908SA09"	"752"	"8908SA09"	TRUE
"752_8909AG52"	"752_8909AG52"	"752"	"8909AG52"	TRUE
"752_8909MD19"	"752_8909MD19"	"752"	"8909MD19"	TRUE
"752_8909NS57"	"752_8909NS57"	"752"	"8909NS57"	TRUE
"752_8909SA17"	"752_8909SA17"	"752"	"8909SA17"	TRUE
"752_8910AG56"	"752_8910AG56"	"752"	"8910AG56"	TRUE
"752_8910NS65"	"752_8910NS65"	"752"	"8910NS65"	TRUE
"752_8910SA25"	"752_8910SA25"	"752"	"8910SA25"	TRUE
"752_8911MD36"	"752_8911MD36"	"752"	"8911MD36"	TRUE
"752_8911NS78"	"752_8911NS78"	"752"	"8911NS78"	TRUE
"752_8911SA38"	"752_8911SA38"	"752"	"8911SA38"	TRUE
"752_8912AG67"	"752_8912AG67"	"752"	"8912AG67"	TRUE
"752_8912NS84"	"752_8912NS84"	"752"	"8912NS84"	TRUE
"752_8912SA43"	"752_8912SA43"	"752"	"8912SA43"	TRUE
"752_9001AG72"	"752_9001AG72"	"752"	"9001AG72"	TRUE
"752_9001MD49"	"752_9001MD49"	"752"	"9001MD49"	TRUE
"752_9001NS90"	"752_9001NS90"	"752"	"9001NS90"	TRUE
"752_9001SA49"	"752_9001SA49"	"752"	"9001SA49"	TRUE
"752_9002AG80"	"752_9002AG80"	"752"	"9002AG80"	TRUE
"752_9002MD57"	"752_9002MD57"	"752"	"9002MD57"	TRUE
"752_9002NS99"	"752_9002NS99"	"752"	"9002NS99"	TRUE
"752_9002SA56"	"752_9002SA56"	"752"	"9002SA56"	TRUE
"752_9003AG87"	"752_9003AG87"	"752"	"9003AG87"	TRUE
"752_9003MD64"	"752_9003MD64"	"752"	"9003MD64"	TRUE
"752_9003NS08"	"752_9003NS08"	"752"	"9003NS08"	TRUE
"752_9003SA61"	"752_9003SA61"	"752"	"9003SA61"	TRUE
"752_9004AG96"	"752_9004AG96"	"752"	"9004AG96"	TRUE
"752_9004NS17"	"752_9004NS17"	"752"	"9004NS17"	TRUE
"752_9004SA67"	"752_9004SA67"	"752"	"9004SA67"	TRUE
"752_9004SA75"	"752_9004SA75"	"752"	"9004SA75"	TRUE
"752_9005MD78"	"752_9005MD78"	"752"	"9005MD78"	TRUE
"752_9005NS24"	"752_9005NS24"	"752"	"9005NS24"	TRUE
"752_9006AG09"	"752_9006AG09"	"752"	"9006AG09"	TRUE
"752_9006NS29"	"752_9006NS29"	"752"	"9006NS29"	TRUE
"752_9006SA79"	"752_9006SA79"	"752"	"9006SA79"	TRUE
"752_9008AG22"	"752_9008AG22"	"752"	"9008AG22"	TRUE
"752_9008MD01"	"752_9008MD01"	"752"	"9008MD01"	TRUE
"752_9008NS46"	"752_9008NS46"	"752"	"9008NS46"	TRUE
"752_9008SA96"	"752_9008SA96"	"752"	"9008SA96"	TRUE
